Tracking Number,Coll. Subset,AMNH Acc Number,Division Accession Number,USI Barcode Number,Other Numbers Category,Catalog Number,Database Source,Class,Subclass,Order,Suborder,Family Name in Database,Family Author Name - Last 1 ,Family Author Name - Last 2,Family Author Name - Last 3,Family Author Name - Year,Real/Upated Family Name,Genus Name,Genus Author Name - Last 1 ,Genus Author Name - Last 2,Genus Author Name - Last 3,Genus Author Name - Last 4,Genus Author Name - Last 5,Genus Author Name - Last 6,Genus Author Name - Year,Real/Upated Genus Name,Subgenus Name,Species Name in Database,Species Name Real/Updated,Species Mispelled,Species Author Name - Last 1 ,Subspecies Author Name - First 1 ,Species Author Name - Middle 1 ,Species Author Name - Last 2 ,Species Author Name - First 2 ,Species Author Name - Middle 2 ,Species Author Name - Last 3 ,Species Author Name - First 3 ,Species Author Name - Last 4,Species Author Name - Last 5,Species Author Name - Last 6,Species Year,Subspecies Name,Subspecies Author Name - Last 1 ,Subspecies Author Name - First 1 .1,Subspecies Author Name - Middle 1 ,Subspecies Author Name - Last 2 ,Subspecies Author Name - First 2 ,Subspecies Author Name - Middle 2 ,Subspecies Date,Notes: Taxonomy,Determined by Verbatim,Determined by Title,Determined by First Name 1,Determined by Middle Name 1,Determined by Middle Name 1.1,Determined by Last  Name 1,Determined by  Suffix 1,Determined by First Name 2,Determined by Middle Name 2,Determined by Last  Name 2,Determined by First Name 3,Determined by Middle Name 3,Determined by Last  Name 3,Determined by First Name 4,Determined by Middle Name 4,Determined by Last  Name 4,Determined by First Name 5,Determined by Middle Name 5,Determined by Last  Name 5,Determined by First Name 6,Determined by Middle Name 6,Determined by Last  Name 6,Determined by Year,Determined by Institution,Notes: Determined By,NOTES: Specimen Notes,Notes: on Labels,Type of Type,Specimen Number,Photographed,Storage Medium,Preservation History,Storage #/ Storage Container,NOTES: Storage,CITES Status,Sex,Stage,Body Part/Location,Host AMNH Catalog Record Number (link to),Host AMNH Relationship,Host Condition,Host Relationship Other Institution Voucher/Catalog  Number,Host Other Instituion Relationship,Host Common Name,Host/Associate Relationship Other_Host Genus,Host/Associate Relationship Other_Host Species,Host/Associate Relationship Other_Host Subspecies,Host Sex,Host Condition.1,Host/Associate Relationship Other_Host Institution,Collecting Method,Locality Verbatim,Continent,Ocean,Sea/Gulf/Strait,Lake/Pond/Reservoir,Bay/Harbor,River/Creek,Stream,Mountain Range,Mountain,Island Group,Island,Country,Department / Province / State,County,City/Town/Hamlet,Specific Locale,Notes: Locality,Macro Habitat,Micro Habitat ,Substrate,Temp C,decimal latitude,decimal longitude,Latitude (from),Lat (from) NS,Latitude (to),Lat NS  (to),Longitude (from),Long (from) EW,Longitude   (to) ,Long EW  (to),Elevation from (m),Elevation to (m),Elevation from (f),Elevation to (f),Depth (f) start,Depth (f) end,Depth (m) start,Depth (m) end,Fathoms,Collector Verbatim,Collection,Collection2,Collector1_Title,Collector1_FirstName,Collector1_MiddleName1,Collector1_MiddleName2,Collector1_LastName,Collector1_Suffix,Collector1_Institution,Collector2_Title,Collector2_FirstName,Collector2_MiddleName,Collector2_MiddleName2,Collector2_LastName,Collector2_Suffix,Collector3_FirstName,Collector3_MiddleName,Collector3_MiddleName2,Collector3_LastName,Collector3_Suffix,Collector4_FirstName,Collector4_MiddleName,Collector4_LastName,Collector5_FirstName,Collector5_MiddleName,Collector5_LastName,Collector6_FirstName,Collector6_MiddleName,Collector6_LastName,Date Collection Verbatim DB,Collection Date Season,Collection Year (from),Collection Month (from),Collection Day (from),Collection Year (to),Collection Month (to),Collection Day (to),Donor / Expedition / CollectionSource,Donor / Expedition / CollectionSource.1,Donor (Received from) Verbatim,Donor (Received From) Institution,Donor Prefix,Donor 1 First Name,Donor 1 Middle Name,Donor 1 Middle Name2,Donor 1 Last Name,Donor 1 Suffix,Donor First Name2,Donor Middle Name2,Donor Last Name2,Donor from2 Suffix,Donor First Name3,Donor Middle Name3,Donor Last Name3,Date Rcvd verbatim,Date Rcvd. Season,DateRcvd Year (from),DateRcvd Month (from),DateRcvd Day (from),DateRcvd Year (to),DateRcvd Month (to),DateRcvd Day (to),NOTES: Accession Note,Associated Publication (verbatim),Journal_Title,Book_Title,Chapter_Number,Article_Journal_Vol Number,Article_Journal _Issue,Article Number,Article_Journal_pp,Article_Journal_Plates/Figures,Plate,Publication Year,Author Verbatim,Article_Author LastName,Article_Author First Name,Article_Author Middle Name,ArticleAuthor2_LastName,ArticleAuthor2_FirstName,ArticleAuthor2_MiddleName,ArticleAuthor3_LastName,ArticleAuthor3_FirstName,ArticleAuthor3_MiddleName,Author4 Last Name4,Article_Author First Name4,Article_Author Middle Name4,Author5 Last Name5,Article_Author First Name5,Article_Author Middle Name5,Author6 Last Name6,Article_Author First Name6,Article_Author Middle Name6,Article Title,Notes: Publications,new_continent,new_country,new_department / Province / State,new_county,new_city/Town/Hamlet,new_specific Locale,new_coordinates,new_longitude,new_latitude
M30099,Mollusca,,5821,,Catalog No.,294076,Filemake Pro Mollusca,,,,,Ostreidae,,,,,,Crassostrea,,,,,,,,,,virginica,,,(Gmelin,,,,,,,,,,,1791),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,locality unknown,,,,,from 1 specimen,,,,,,,,,,,,,,,,,,,,,,,,Frank Nagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William H. Weeks,,,,,,,,,,,,,,,,,1921-12-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,locality unknown,,,,,"('46.575462', '10.323031')",10.323031,46.575462
M45720,Mollusca,,10050,,Catalog No.,285064,Filemake Pro Mollusca,,,,,Muricidae,,,,,,Pterotyphis,,,,,,,,,,zealandiscus,,,Hutton,,,,,,,,,,,1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Pleistocene,,,,,,,,,,,,,,,,Pacific Ocean,,,,,,,,,,,"New Zealand,","Wanganui,","Castlecliff,",,,"Fossil in Papa mudstone, approx 2 million years old.",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katherine C. Vaught,Katherine C. Vaught Collection.,,,,,,,,,,,,,,,,1995-07-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pacific Ocean,New Zealand,Wanganui,Castlecliff,,,"('-39.9431665', '174.9940799')",174.9940799,-39.9431665
M57035,Mollusca,,9853,,Catalog No.,291596,Filemake Pro Mollusca,,,,,Strombidae,,,,,,Strombus,,,,,,,,,,labiatus,,,Roeding,,,,,,,,,,,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,smooth form,,,,,,,,,,,,,,,,Sulu Sea,,,,,,,,,,,"Philippines,","Sulu,",,,,,,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grace C.Eddison,Grace C.Eddison MD Collection.,,,,,,,,,,,,,,,,"25 October, 1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sulu Sea,Philippines,Sulu,,,,"('8.5190434', '120.8958242')",120.8958242,8.5190434
M15120,Mollusca,,9853,,Catalog No.,291014,Filemake Pro Mollusca,,,,,Muricidae,,,,,,Siratus,,,,,,,,,,finlayi,,,Clench,,,,,,,,,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paratype,1,,,,,,,,Paratype,,,,,,,,,,,,,,,,Caribbean Sea,,,,,,,,,,,"Cuba,","Matanzas Bay,",,,"100 fathoms, shell trap,",,,,,,,,,,,,,,,,,,,,,,,,,J.Finlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grace G. Eddison,"Grace G. Eddison, MD Collection.",,,,,,,,,,,,,,,,1991-10-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caribbean Sea,Cuba,Matanzas Bay,,,,"('23.0702341', '-81.50477719999999')",-81.50477719999999,23.0702341
M62826,Mollusca,,9853,,Catalog No.,290220,Filemake Pro Mollusca,,,,,Fasciolariidae,,,,,,Fusinus,,,,,,,,,,colus,,,Linne,,,,,,,,,,,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3-4 mm juvenile,,,,,,,,,,,,,,,,Atlantic Ocean,,,,,,,,,,,"South Africa,","Cape Province,","Haga Haga Hotel,",,,,,,,,,,,,,,,,,,,,,,,,,,,G.Eddison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August, 1965",,,,,,,,Grace G. Eddison,"Grace G. Eddison, MD Collection.",,,,,,,,,,,,,,,,1991-10-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlantic Ocean,South Africa,Cape Province,Haga Haga Hotel,,,"('-32.7642359', '28.2488249')",28.2488249,-32.7642359
M90206,Mollusca,,,,Catalog No.,28923,Filemake Pro Mollusca,,,,,Nuculanidae,,,,,,Leda,,,,,,,,,,gloriosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2v.,,,,,,,,A.ad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crooke Coll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('', '')",,
M90205,Mollusca,,,,Catalog No.,28920,Filemake Pro Mollusca,,,,,NUCULANIDAE,,,,,,lEDA,,,,,,,,,,GLORIOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,Ad.(Young),,,,,,,,,,,,,,,,,,,,,,,,,,,,Navy Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haines Coll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Navy Bay,,,,"('30.8081232', '-81.5709634')",-81.5709634,30.8081232
M61711,Mollusca,,9714,,Catalog No.,253852,Filemake Pro Mollusca,,,,,Conidae,,,,,,Conus,,,,,,,,,,algoensis,,,"Coomans, Moolenbeek, & Wils",,,,,,,,,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,agulhasi,,,,,,,,,,,,,,,,Atlantic Ocean,,,,,,,,,,,"South Africa,","Cape Agulhas,",,,,"Skindiver, 3 meters, in sand",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"August, 1985",,,,,,,,Kay C. Vaught,Kay C. Vaught Collection,,,,,,,,,,,,,,,,1989-12-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlantic Ocean,South Africa,Cape Agulhas,,,,"('-34.8311111', '20.0130556')",20.0130556,-34.8311111
M66400,Mollusca,,,,Catalog No.,52540,Filemake Pro Mollusca,,,,,Helminthoglyptidae,,,,,,Helix,,,,,,,,,,tryonii,,,Hemphill,,,,,,,,,,,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNTYPES,4,, ,,,,,,albida,,,,,,,,,,,,,,,,North America,,,,,,,,,,,United States,California,,,Santa Barbara Island ,"ex Constable Collection. Syntypes are also present in CAS, USNM, UCM, and SBMNH. This taxon is a synonym of Plesarionta tryoni (Newcomb, 1864) (fide Coan & Roth, 1987, p. 325).  ",,,,,,,,,,,,,,,,,,,,,,,,H. Hemphill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Cited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p. 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,United States,California,,,Santa Barbara Island ,"('33.4755721', '-119.0372643')",-119.0372643,33.4755721
M66412,Mollusca,,,,Catalog No.,52914,Filemake Pro Mollusca,,,,,Oreohelicidae,,,,,,Patula,,,,,,,,,,strigosa,,,Hemphill,,,,,,,,,,,1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARALECTOTYPES,2,, ,,,,,,albida,,,,,,,,,,,,,,,,North America,,,,,,,,,,,United States,Utah,,,near Logan ,"ex Constable Collection. The lectotype is in CAS (fide Pilsbry, 1939, p. 494) and paralectotypes are also in CAS, USNM, and SBMNH. This taxon is a synonym of Oreohelix subrudis rugosa (Hemphill, 1890)(fide Pilsbry, 1939, pp. 493, 494; Coan & Roth, 1987, p. 325).",,,,,,,,,,,,,,,,,,,,,,,,H. Hemphill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Cited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p. 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,United States,Utah,,,near Logan ,"('41.7369803', '-111.8338359')",-111.8338359,41.7369803
